configuracion,recall_medio,recall_desv,recall_minimo,segundos,pliegue_1,pliegue_2,pliegue_3,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_lambda,scale_pos_weight
17,0.3371392532892729,0.0094799596004765,0.3250539956803456,101.20739793777466,0.3482082488167681,0.3250539956803456,0.3381555153707052,848,0.0848954282314666,76,10,759,0.7350460685614512,0.9090073829612466,2.7810936979265537,1.9811668345619415
21,0.3253034831471906,0.009583681813828,0.3120950323974082,83.26025247573853,0.3292765382014875,0.3120950323974082,0.3345388788426763,966,0.0663629381149625,52,6,450,0.8534118843043579,0.8360677737029393,5.439591236568525,36.83818397185091
0,0.3248720847594069,0.0085305400217232,0.3142548596112311,108.3131937980652,0.3252197430696416,0.3142548596112311,0.3351416515973478,1244,0.1061678566632834,117,6,121,0.7836995567863468,0.6872700594236812,7.792297153882991,1.768682948557255
31,0.323649115205021,0.0060825367894664,0.3153347732181425,108.38668417930604,0.325895875591616,0.3153347732181425,0.3297166968053044,1159,0.0348687616974057,111,7,928,0.7123089449763423,0.8974056517708242,2.4574572727813155,61.60294721577358
36,0.3102971380158559,0.0181858815673753,0.290736984448952,121.7246594429016,0.290736984448952,0.3056155507559395,0.3345388788426763,1399,0.056520541745879,53,6,295,0.9240453578716724,0.8703843088771022,3.865304288032152,101.13133051262837
13,0.2918249646374277,0.0083166883537101,0.2857142857142857,63.78015112876892,0.3035835023664638,0.2861771058315335,0.2857142857142857,1091,0.058470130455149,91,5,603,0.7901480892728447,0.5202167947692157,2.5318525210031804,165.54460886005154
25,0.2441109788813189,0.0228784473104062,0.2121760096443641,65.64053082466125,0.255578093306288,0.2645788336933045,0.2121760096443641,1080,0.0761957717744233,16,4,621,0.8233173814428391,0.8299920230170895,98.28956194475674,246.29794868630464
33,0.2432340581059161,0.0091407967942497,0.2311015118790496,22.280765056610107,0.2454361054766734,0.2311015118790496,0.2531645569620253,380,0.100420870814219,109,4,351,0.7177795568278342,0.5077283082644337,84.5746003373148,129.72027259021556
24,0.2248330139494301,0.0221199106147893,0.2008639308855291,38.95294642448425,0.2542258282623394,0.2008639308855291,0.2194092827004219,672,0.1025419179985157,64,4,828,0.7031766510860622,0.6933676731502687,70.69476197217989,149.03077498483168
34,0.0680640072120802,0.096257042108784,0.0,23.93855381011963,0.2041920216362407,0.0,0.0,327,0.0828954576838962,32,11,372,0.8784119186699892,0.6925488643009626,12.989801809330634,208.4341563379046
